bitstring,expectation,penalty,valid
000 01 11,13.0,1,False
001 00 10,5.0,1,False
001 00 11,5.0,1,False
001 01 10,4.0,1,False
001 01 11,8.0,1,False
000 10 00,1.0,1,False
000 10 01,5.0,1,False
000 11 00,2.0,1,False
000 11 01,10.0,1,False
001 10 00,2.0,1,False
001 10 01,2.0,1,False
001 11 00,1.0,1,False
001 11 01,5.0,1,False
000 10 10,9.0,1,False
000 10 11,13.0,1,False
000 11 10,10.0,1,False
000 11 11,18.0,1,False
001 10 10,10.0,1,False
001 10 11,10.0,1,False
001 11 10,9.0,1,False
001 11 11,13.0,1,False
010 00 00,2.0,1,False
010 00 01,2.0,1,False
010 01 00,1.0,1,False
010 01 01,5.0,1,False
011 00 00,5.0,1,False
011 00 01,1.0,1,False
011 01 00,2.0,1,False
011 01 01,2.0,1,False
010 00 10,2.0,1,False
010 00 11,2.0,1,False
010 01 10,1.0,1,False
010 01 11,5.0,1,False
011 00 10,5.0,1,False
011 00 11,1.0,1,False
011 01 10,2.0,1,False
011 01 11,2.0,1,False
010 10 00,1.0,1,False
010 10 01,1.0,1,False
010 11 00,0.0,1,True
010 11 01,4.0,1,False
011 10 00,4.0,1,False
011 10 01,0.0,1,True
011 11 00,1.0,1,False
011 11 01,1.0,1,False
010 10 10,5.0,1,False
010 10 11,5.0,1,False
010 11 10,4.0,1,False
010 11 11,8.0,1,False
011 10 10,8.0,1,False
011 10 11,4.0,1,False
011 11 10,5.0,1,False
011 11 11,5.0,1,False
100 00 00,1.0,1,False
100 00 01,5.0,1,False
100 01 00,2.0,1,False
100 01 01,10.0,1,False
101 00 00,2.0,1,False
101 00 01,2.0,1,False
101 01 00,1.0,1,False
101 01 01,5.0,1,False
100 00 10,1.0,1,False
100 00 11,5.0,1,False
100 01 10,2.0,1,False
100 01 11,10.0,1,False
101 00 10,2.0,1,False
101 00 11,2.0,1,False
101 01 10,1.0,1,False
101 01 11,5.0,1,False
100 10 00,0.0,1,True
100 10 01,4.0,1,False
100 11 00,1.0,1,False
100 11 01,9.0,1,False
101 10 00,1.0,1,False
101 10 01,1.0,1,False
